Sending logstash logs to /var/log/logstash/logstash.log.
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.EventUnmarshaller.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.EventUnmarshaller.httpStartStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.EventUnmarshaller.unmarshalErrors 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.httpStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.httpStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.httpStartStopEmitted 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.uncategorizedEvents 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.httpUnmatchedStartReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.httpUnmatchedStopReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.MessageAggregator.counterEventReceived 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.logMessageMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.valueMetricMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.counterEventMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.errorMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.containerMetricMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.httpStartMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.httpStopMarshalled 0 1438627852
2015-08-03T18:50:52.000Z 192.168.150.17 cf.MetronAgent.0.10-244-0-42.MetronAgent.eventMarshaller.httpStartStopMarshalled 0 1438627852
